"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 10 16:09:38 UTC 2025","Fri Jan 10 16:09:39 UTC 2025","276","","Tests.CharacterApiTests","","Tests.CharacterApiTests","","GetCharacters_WithDifferentFilters_ShouldReturnFilteredResults(""species"",""Alien"")",""
"passed","Fri Jan 10 16:09:40 UTC 2025","Fri Jan 10 16:09:40 UTC 2025","231","","Tests.CharacterApiTests","","Tests.CharacterApiTests","","GetCharacters_WithNullEnumValue_ShouldThrowNotFoundException",""
"passed","Fri Jan 10 16:09:40 UTC 2025","Fri Jan 10 16:09:40 UTC 2025","353","","Tests.CharacterApiTests","","Tests.CharacterApiTests","","GetCharacters_WithNotExistingEnumValue_ShouldThrowNotFoundException",""
"passed","Fri Jan 10 16:09:39 UTC 2025","Fri Jan 10 16:09:40 UTC 2025","209","","Tests.CharacterApiTests","","Tests.CharacterApiTests","","GetCharacters_WithNameFilter_ShouldReturnFilteredResults",""
"passed","Fri Jan 10 16:09:38 UTC 2025","Fri Jan 10 16:09:38 UTC 2025","110","","Tests.CharacterApiTests","","Tests.CharacterApiTests","","GetCharacters_WithDifferentFilters_ShouldReturnFilteredResults(""gender"",""Female"")",""
"passed","Fri Jan 10 16:09:40 UTC 2025","Fri Jan 10 16:09:40 UTC 2025","66","","Tests.CharacterApiTests","","Tests.CharacterApiTests","","GetCharacters_WithoutParameters_ShouldReturnValidResponse",""
"failed","Fri Jan 10 16:09:39 UTC 2025","Fri Jan 10 16:09:39 UTC 2025","545","","Tests.CharacterApiTests","","Tests.CharacterApiTests","","GetCharacters_WithEmptyStringTypeFilter_ShouldReturnFilteredResults",""
"passed","Fri Jan 10 16:09:41 UTC 2025","Fri Jan 10 16:09:41 UTC 2025","89","","Tests.CharacterDetailsTest","","Tests.CharacterDetailsTest","","GetCharacters_ByMultipleIds_ShouldReturnCorrectDetails",""
"passed","Fri Jan 10 16:09:40 UTC 2025","Fri Jan 10 16:09:40 UTC 2025","86","","Tests.CharacterDetailsTest","","Tests.CharacterDetailsTest","","GetCharacterDetails_ShouldReturnCorrectDetails",""
"passed","Fri Jan 10 16:09:41 UTC 2025","Fri Jan 10 16:09:41 UTC 2025","230","","Tests.CharacterDetailsTest","","Tests.CharacterDetailsTest","","GetCharacters_ByNotExistingId_ShouldReturnCorrectDetails",""
"passed","Fri Jan 10 16:09:39 UTC 2025","Fri Jan 10 16:09:39 UTC 2025","262","","Tests.CharacterApiTests","","Tests.CharacterApiTests","","GetCharacters_WithMultipleFilters_ShouldReturnFilteredResults",""
"passed","Fri Jan 10 16:09:37 UTC 2025","Fri Jan 10 16:09:38 UTC 2025","778","","Tests.CharacterApiTests","","Tests.CharacterApiTests","","GetCharacters_WithDifferentFilters_ShouldReturnFilteredResults(""status"",""Dead"")",""
"passed","Fri Jan 10 16:09:40 UTC 2025","Fri Jan 10 16:09:41 UTC 2025","282","","Tests.CharacterDetailsTest","","Tests.CharacterDetailsTest","","GetCharacterDetails_WithNegativeId_ShouldReturnNotFound",""
"passed","Fri Jan 10 16:09:40 UTC 2025","Fri Jan 10 16:09:40 UTC 2025","66","","Tests.CharacterApiTests","","Tests.CharacterApiTests","","GetCharacters_WithPagination_ShouldReturnValidResponseAndNavigatePages",""
